company_number,category,description,date,type
01962348,gazette,gazette-dissolved-voluntary,2026-06-02,GAZ2(A)
01962348,gazette,gazette-notice-voluntary,2026-03-17,GAZ1(A)
01962348,dissolution,dissolution-application-strike-off-company,2026-03-06,DS01
01962348,accounts,accounts-with-accounts-type-dormant,2025-12-22,AA
01962348,confirmation-statement,confirmation-statement-with-no-updates,2025-04-02,CS01
01962348,accounts,accounts-with-accounts-type-dormant,2025-01-03,AA
01962348,confirmation-statement,confirmation-statement-with-no-updates,2024-04-05,CS01
01962348,accounts,accounts-with-accounts-type-dormant,2024-01-09,AA
01962348,confirmation-statement,confirmation-statement-with-no-updates,2023-04-03,CS01
01962348,address,change-registered-office-address-company-with-date-old-address-new-address,2022-08-01,AD01
01962348,accounts,accounts-with-accounts-type-dormant,2022-07-14,AA
01962348,confirmation-statement,confirmation-statement-with-no-updates,2022-04-04,CS01
01962348,accounts,accounts-with-accounts-type-dormant,2022-01-04,AA
01962348,confirmation-statement,confirmation-statement-with-no-updates,2021-04-01,CS01
01962348,accounts,accounts-with-accounts-type-dormant,2021-03-23,AA
01962348,confirmation-statement,confirmation-statement-with-no-updates,2020-04-01,CS01
01962348,officers,termination-director-company-with-name-termination-date,2020-01-06,TM01
01962348,accounts,accounts-with-accounts-type-dormant,2019-12-17,AA
01962348,officers,appoint-person-director-company-with-name-date,2019-07-31,AP01
01962348,officers,termination-director-company-with-name-termination-date,2019-07-31,TM01
01962348,confirmation-statement,confirmation-statement-with-no-updates,2019-04-11,CS01
01962348,accounts,accounts-with-accounts-type-dormant,2018-08-08,AA
01962348,confirmation-statement,confirmation-statement-with-no-updates,2018-04-05,CS01
01962348,officers,change-person-director-company-with-change-date,2018-02-12,CH01
01962348,accounts,accounts-with-accounts-type-dormant,2017-10-09,AA
02354697,confirmation-statement,confirmation-statement-with-no-updates,2026-04-01,CS01
02354697,persons-with-significant-control,change-to-a-person-with-significant-control,2026-03-31,PSC05
02354697,accounts,accounts-with-accounts-type-dormant,2025-12-22,AA
02354697,confirmation-statement,confirmation-statement-with-no-updates,2025-04-02,CS01
02354697,accounts,accounts-with-accounts-type-dormant,2025-01-03,AA
02354697,confirmation-statement,confirmation-statement-with-no-updates,2024-04-05,CS01
02354697,accounts,accounts-with-accounts-type-dormant,2024-01-09,AA
02354697,confirmation-statement,confirmation-statement-with-no-updates,2023-04-03,CS01
02354697,address,change-registered-office-address-company-with-date-old-address-new-address,2022-08-01,AD01
02354697,accounts,accounts-with-accounts-type-dormant,2022-07-14,AA
02354697,confirmation-statement,confirmation-statement-with-no-updates,2022-04-04,CS01
02354697,accounts,accounts-with-accounts-type-dormant,2022-01-04,AA
02354697,confirmation-statement,confirmation-statement-with-no-updates,2021-04-01,CS01
02354697,accounts,accounts-with-accounts-type-dormant,2021-03-23,AA
02354697,confirmation-statement,confirmation-statement-with-no-updates,2020-04-01,CS01
02354697,officers,termination-director-company-with-name-termination-date,2020-01-06,TM01
02354697,accounts,accounts-with-accounts-type-dormant,2019-12-17,AA
02354697,officers,appoint-person-director-company-with-name-date,2019-07-31,AP01
02354697,officers,termination-director-company-with-name-termination-date,2019-07-31,TM01
02354697,confirmation-statement,confirmation-statement-with-no-updates,2019-04-11,CS01
02354697,accounts,accounts-with-accounts-type-dormant,2018-08-08,AA
02354697,confirmation-statement,confirmation-statement-with-no-updates,2018-04-05,CS01
02354697,officers,change-person-director-company-with-change-date,2018-02-12,CH01
02354697,accounts,accounts-with-accounts-type-dormant,2017-10-09,AA
02354697,confirmation-statement,confirmation-statement-with-updates,2017-04-07,CS01
15913144,confirmation-statement,confirmation-statement-with-updates,2025-09-29,CS01
15913144,persons-with-significant-control,notification-of-a-person-with-significant-control,2025-09-29,PSC01
15913144,officers,appoint-person-director-company-with-name-date,2025-09-29,AP01
15913144,officers,appoint-person-director-company-with-name-date,2025-09-29,AP01
15913144,persons-with-significant-control,cessation-of-a-person-with-significant-control,2025-09-29,PSC07
15913144,officers,termination-director-company-with-name-termination-date,2025-09-29,TM01
15913144,change-of-name,certificate-change-of-name-company,2025-09-29,CERTNM
15913144,confirmation-statement,confirmation-statement-with-updates,2025-09-22,CS01
15913144,persons-with-significant-control,notification-of-a-person-with-significant-control,2025-09-22,PSC01
15913144,officers,termination-director-company-with-name-termination-date,2025-09-22,TM01
15913144,officers,appoint-person-director-company-with-name-date,2025-09-22,AP01
15913144,persons-with-significant-control,cessation-of-a-person-with-significant-control,2025-09-22,PSC07
15913144,address,change-registered-office-address-company-with-date-old-address-new-address,2025-09-22,AD01
15913144,persons-with-significant-control,cessation-of-a-person-with-significant-control,2025-09-22,PSC07
15913144,accounts,accounts-with-accounts-type-dormant,2025-09-01,AA
15913144,confirmation-statement,confirmation-statement-with-no-updates,2025-08-06,CS01
15913144,incorporation,incorporation-company,2024-08-22,NEWINC
13925491,confirmation-statement,confirmation-statement-with-updates,2026-07-02,CS01
13925491,accounts,accounts-with-accounts-type-total-exemption-full,2026-03-23,AA
13925491,change-of-name,certificate-change-of-name-company,2025-10-06,CERTNM
13925491,address,change-registered-office-address-company-with-date-old-address-new-address,2025-10-06,AD01
13925491,confirmation-statement,confirmation-statement-with-no-updates,2025-04-16,CS01
13925491,accounts,accounts-with-accounts-type-total-exemption-full,2025-01-23,AA
13925491,accounts,change-account-reference-date-company-previous-extended,2024-11-07,AA01
13925491,confirmation-statement,confirmation-statement-with-no-updates,2024-02-22,CS01
13925491,accounts,accounts-with-accounts-type-total-exemption-full,2023-11-16,AA
13925491,confirmation-statement,confirmation-statement-with-no-updates,2023-02-22,CS01
13925491,change-of-name,certificate-change-of-name-company,2022-09-23,CERTNM
13925491,incorporation,incorporation-company,2022-02-18,NEWINC
14821054,confirmation-statement,confirmation-statement-with-updates,2026-04-27,CS01
14821054,accounts,accounts-with-accounts-type-dormant,2026-01-31,AA
14821054,change-of-name,certificate-change-of-name-company,2025-09-22,CERTNM
14821054,confirmation-statement,confirmation-statement-with-no-updates,2025-05-04,CS01
14821054,accounts,accounts-with-accounts-type-dormant,2025-01-20,AA
14821054,confirmation-statement,confirmation-statement-with-no-updates,2024-05-06,CS01
14821054,incorporation,incorporation-company,2023-04-23,NEWINC
17003684,miscellaneous,miscellaneous,2026-03-18,MISC
17003684,incorporation,incorporation-company,2026-01-30,NEWINC
07753328,officers,termination-director-company-with-name-termination-date,2026-05-28,TM01
07753328,confirmation-statement,confirmation-statement-with-no-updates,2026-03-09,CS01
07753328,officers,termination-director-company-with-name-termination-date,2026-03-09,TM01
07753328,change-of-name,certificate-change-of-name-company,2025-07-24,CERTNM
07753328,mortgage,mortgage-satisfy-charge-full,2025-07-16,MR04
07753328,confirmation-statement,confirmation-statement-with-no-updates,2024-08-05,CS01
07753328,accounts,accounts-with-accounts-type-full,2024-05-02,AA
07753328,confirmation-statement,confirmation-statement-with-no-updates,2023-08-17,CS01
